,cell_type,sex,race,count,percentage
233,gamma-delta T cell,male,Asian,2,0.001926708026665639
234,regulatory T cell,male,Asian,31,0.029863974413317403
235,transitional stage B cell,male,Asian,225,0.21675465299988442
236,classical monocyte,male,Asian,369,0.35547763091981044
237,non-classical monocyte,male,Asian,323,0.3111633463065007
238,"naive thymus-derived CD4-positive, alpha-beta T cell",male,Asian,310,0.29863974413317407
239,"naive thymus-derived CD8-positive, alpha-beta T cell",male,Asian,253,0.24372856537320334
240,"central memory CD4-positive, alpha-beta T cell",male,Asian,147,0.14161303995992447
241,"effector memory CD8-positive, alpha-beta T cell",male,Asian,173,0.16666024430657778
242,"CD16-negative, CD56-bright natural killer cell, human",male,Asian,59,0.05683788678663636
243,mucosal invariant T cell,male,Asian,20,0.019267080266656394
244,IgG plasmablast,male,Asian,5,0.0048167700666640985
245,IgA plasmablast,male,Asian,19,0.01830372625332357
246,conventional dendritic cell,male,Asian,54,0.052021116719972255
247,"activated CD4-positive, alpha-beta T cell, human",male,Asian,4,0.003853416053331278
248,"plasmacytoid dendritic cell, human",male,Asian,26,0.025047204346653307
249,double negative thymocyte,male,Asian,15,0.014450310199992293
250,hematopoietic stem cell,male,European,17,0.016377018226657932
251,erythrocyte,male,European,17,0.016377018226657932
252,platelet,male,European,32,0.030827328426650223
253,lymphocyte,male,European,78,0.07514161303995993
254,natural killer cell,male,European,3117,3.0027744595583985
255,neutrophil,male,European,12,0.011560248159993835
256,memory B cell,male,European,153,0.1473931640399214
257,naive B cell,male,European,373,0.35933104697314167
258,gamma-delta T cell,male,European,25,0.02408385033332049
259,regulatory T cell,male,European,59,0.05683788678663636
260,transitional stage B cell,male,European,285,0.27455589379985357
261,classical monocyte,male,European,421,0.405572039613117
262,non-classical monocyte,male,European,223,0.21482794497321875
263,"naive thymus-derived CD4-positive, alpha-beta T cell",male,European,216,0.20808446687988902
264,"naive thymus-derived CD8-positive, alpha-beta T cell",male,European,49,0.04720434665330816
265,"central memory CD4-positive, alpha-beta T cell",male,European,286,0.2755192478131864
266,"effector memory CD8-positive, alpha-beta T cell",male,European,1129,1.0876266810527533
267,"CD16-negative, CD56-bright natural killer cell, human",male,European,136,0.13101614581326346
268,mucosal invariant T cell,male,European,68,0.06550807290663173
269,IgG plasmablast,male,European,9,0.008670186119995375
270,IgA plasmablast,male,European,34,0.032754036453315864
271,conventional dendritic cell,male,European,66,0.06358136487996609
272,"activated CD4-positive, alpha-beta T cell, human",male,European,1,0.0009633540133328195
273,"plasmacytoid dendritic cell, human",male,European,54,0.052021116719972255
274,double negative thymocyte,male,European,18,0.01734037223999075
275,hematopoietic stem cell,male,unknown,1,0.0009633540133328195
276,erythrocyte,male,unknown,5,0.0048167700666640985
277,platelet,male,unknown,16,0.015413664213325112
278,lymphocyte,male,unknown,30,0.028900620399984586
279,natural killer cell,male,unknown,1365,1.3149782281992988
280,memory B cell,male,unknown,42,0.04046086855997842
281,naive B cell,male,unknown,31,0.029863974413317403
282,gamma-delta T cell,male,unknown,42,0.04046086855997842
283,regulatory T cell,male,unknown,28,0.026973912373318944
284,transitional stage B cell,male,unknown,277,0.266849061693191
285,classical monocyte,male,unknown,1255,1.2090092867326885
286,non-classical monocyte,male,unknown,237,0.2283149011598782
287,"naive thymus-derived CD4-positive, alpha-beta T cell",male,unknown,108,0.10404223343994451
