,dataset_name,cell_type,cell_type_ontology_id,sex,race,count,percentage
84,Tabula Sapiens - All Cells,plasma cell,CL:0000786,male,European,206,0.4108004626490648
85,Tabula Sapiens - All Cells,memory B cell,CL:0000787,male,European,10,0.019941770031508
86,Tabula Sapiens - All Cells,naive B cell,CL:0000788,male,European,5,0.009970885015754
87,Tabula Sapiens - All Cells,mature NK T cell,CL:0000814,male,European,99,0.19742352331192917
88,Tabula Sapiens - All Cells,classical monocyte,CL:0000860,male,European,1875,3.739081880907749
89,Tabula Sapiens - All Cells,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,male,European,23,0.045866071072468394
90,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta memory T cell",CL:0000897,male,European,119,0.23730706337494514
91,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,male,European,23,0.045866071072468394
92,Tabula Sapiens - All Cells,type I NK T cell,CL:0000921,male,European,9,0.017947593028357196
93,Tabula Sapiens - All Cells,CD141-positive myeloid dendritic cell,CL:0002394,male,European,2,0.003988354006301599
94,Tabula Sapiens - All Cells,T cell,CL:0000084,female,European,31,0.06181948709767479
