,cell_type,sex,race,count,percentage
220,platelet,female,South Asian,23,0.008489967073692914
221,B cell,female,South Asian,6,0.0022147740192242386
222,CD4-positive helper T cell,female,South Asian,496,0.18308798558920372
223,natural killer cell,female,South Asian,192,0.07087276861517564
224,naive B cell,female,South Asian,244,0.0900674767817857
225,"CD8-positive, alpha-beta cytotoxic T cell",female,South Asian,41,0.015134289131365629
226,gamma-delta T cell,female,South Asian,90,0.033221610288363575
227,mature NK T cell,female,South Asian,1,0.00036912900320403973
228,regulatory T cell,female,South Asian,123,0.04540286739409689
229,classical monocyte,female,South Asian,2497,0.9217151210004872
230,non-classical monocyte,female,South Asian,48,0.01771819215379391
231,"naive thymus-derived CD4-positive, alpha-beta T cell",female,South Asian,634,0.2340277880313612
232,"naive thymus-derived CD8-positive, alpha-beta T cell",female,South Asian,365,0.1347320861694745
233,"central memory CD8-positive, alpha-beta T cell",female,South Asian,123,0.04540286739409689
234,"effector memory CD8-positive, alpha-beta T cell",female,South Asian,11,0.004060419035244437
235,"CD4-positive, alpha-beta cytotoxic T cell",female,South Asian,4,0.001476516012816159
236,"CD16-negative, CD56-bright natural killer cell, human",female,South Asian,81,0.02989944925952722
237,mucosal invariant T cell,female,South Asian,191,0.07050363961197159
238,class switched memory B cell,female,South Asian,47,0.01734906315058987
239,conventional dendritic cell,female,South Asian,15,0.005536935048060596
240,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,South Asian,20,0.007382580064080794
241,innate lymphoid cell,female,South Asian,8,0.002953032025632318
242,hematopoietic precursor cell,female,South Asian,21,0.007751709067284835
243,native cell,female,African,9,0.003322161028836358
244,platelet,female,African,20,0.007382580064080794
245,B cell,female,African,2,0.0007382580064080795
246,CD4-positive helper T cell,female,African,435,0.1605711163937573
247,natural killer cell,female,African,241,0.08896008977217358
248,plasmacytoid dendritic cell,female,African,5,0.0018456450160201985
249,plasma cell,female,African,3,0.0011073870096121193
250,naive B cell,female,African,82,0.030268578262731258
251,"CD8-positive, alpha-beta cytotoxic T cell",female,African,1038,0.3831559053257933
252,gamma-delta T cell,female,African,14,0.0051678060448565565
253,mature NK T cell,female,African,7,0.0025839030224282782
254,regulatory T cell,female,African,34,0.01255038610893735
255,classical monocyte,female,African,589,0.21741698288717942
256,non-classical monocyte,female,African,118,0.04355722237807669
257,"naive thymus-derived CD4-positive, alpha-beta T cell",female,African,194,0.07161102662158371
258,"naive thymus-derived CD8-positive, alpha-beta T cell",female,African,478,0.176443663531531
259,"central memory CD8-positive, alpha-beta T cell",female,African,165,0.06090628552866655
260,"effector memory CD8-positive, alpha-beta T cell",female,African,25,0.009228225080100993
261,"CD4-positive, alpha-beta cytotoxic T cell",female,African,367,0.13547034417588258
262,"CD16-negative, CD56-bright natural killer cell, human",female,African,48,0.01771819215379391
263,mucosal invariant T cell,female,African,7,0.0025839030224282782
264,class switched memory B cell,female,African,31,0.011442999099325233
265,conventional dendritic cell,female,African,30,0.011073870096121192
