,dataset_name,cell_type,sex,race,count,percentage
41,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta T cell",female,European,4,0.021388086835632553
42,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",female,European,4,0.021388086835632553
43,Tabula Sapiens - All Cells,radial glial cell,female,European,1,0.005347021708908138
44,Tabula Sapiens - All Cells,retinal bipolar neuron,female,European,1,0.005347021708908138
45,Tabula Sapiens - All Cells,erythroid lineage cell,female,European,2,0.010694043417816277
46,Tabula Sapiens - All Cells,plasma cell,female,European,2,0.010694043417816277
47,Tabula Sapiens - All Cells,keratocyte,female,European,9,0.04812319538017325
48,Tabula Sapiens - All Cells,retinal blood vessel endothelial cell,female,European,2,0.010694043417816277
49,Tabula Sapiens - All Cells,Muller cell,female,European,2,0.010694043417816277
50,Tabula Sapiens - All Cells,conjunctival epithelial cell,female,European,2160,11.549566891241577
51,Tabula Sapiens - All Cells,stem cell,male,Hispanic or Latin American,124,0.6630306919046092
52,Tabula Sapiens - All Cells,fibroblast,male,Hispanic or Latin American,79,0.4224147150037429
53,Tabula Sapiens - All Cells,T cell,male,Hispanic or Latin American,47,0.2513100203186825
54,Tabula Sapiens - All Cells,mast cell,male,Hispanic or Latin American,3,0.016041065126724416
55,Tabula Sapiens - All Cells,surface ectodermal cell,male,Hispanic or Latin American,48,0.25665704202759065
56,Tabula Sapiens - All Cells,endothelial cell,male,Hispanic or Latin American,98,0.5240081274729975
57,Tabula Sapiens - All Cells,microglial cell,male,Hispanic or Latin American,63,0.3368623676612127
58,Tabula Sapiens - All Cells,fat cell,male,Hispanic or Latin American,44,0.23526895519195806
59,Tabula Sapiens - All Cells,melanocyte,male,Hispanic or Latin American,84,0.44914982354828364
60,Tabula Sapiens - All Cells,macrophage,male,Hispanic or Latin American,81,0.43310875842155916
61,Tabula Sapiens - All Cells,B cell,male,Hispanic or Latin American,38,0.20318682493850926
62,Tabula Sapiens - All Cells,eye photoreceptor cell,male,Hispanic or Latin American,325,1.7377820553951449
63,Tabula Sapiens - All Cells,dendritic cell,male,Hispanic or Latin American,124,0.6630306919046092
64,Tabula Sapiens - All Cells,stromal cell,male,Hispanic or Latin American,186,0.9945460378569138
65,Tabula Sapiens - All Cells,corneal epithelial cell,male,Hispanic or Latin American,1445,7.72644636937226
66,Tabula Sapiens - All Cells,monocyte,male,Hispanic or Latin American,15,0.08020532563362208
67,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta T cell",male,Hispanic or Latin American,9,0.04812319538017325
68,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",male,Hispanic or Latin American,1,0.005347021708908138
69,Tabula Sapiens - All Cells,radial glial cell,male,Hispanic or Latin American,180,0.9624639076034648
70,Tabula Sapiens - All Cells,retinal ganglion cell,male,Hispanic or Latin American,5,0.02673510854454069
71,Tabula Sapiens - All Cells,retina horizontal cell,male,Hispanic or Latin American,3,0.016041065126724416
72,Tabula Sapiens - All Cells,retinal bipolar neuron,male,Hispanic or Latin American,16,0.08555234734253021
73,Tabula Sapiens - All Cells,erythroid lineage cell,male,Hispanic or Latin American,19,0.10159341246925463
74,Tabula Sapiens - All Cells,plasma cell,male,Hispanic or Latin American,41,0.2192278900652337
75,Tabula Sapiens - All Cells,pigmented ciliary epithelial cell,male,Hispanic or Latin American,15,0.08020532563362208
76,Tabula Sapiens - All Cells,keratocyte,male,Hispanic or Latin American,440,2.3526895519195805
77,Tabula Sapiens - All Cells,retinal blood vessel endothelial cell,male,Hispanic or Latin American,442,2.3633835953373974
78,Tabula Sapiens - All Cells,Muller cell,male,Hispanic or Latin American,297,1.5880654475457172
79,Tabula Sapiens - All Cells,conjunctival epithelial cell,male,Hispanic or Latin American,1339,7.159662068227997
80,Tabula Sapiens - All Cells,T cell,female,European,7,0.037429151962356966
81,Tabula Sapiens - All Cells,microglial cell,female,European,8,0.04277617367126511
82,Tabula Sapiens - All Cells,macrophage,female,European,3,0.016041065126724416
83,Tabula Sapiens - All Cells,B cell,female,European,1,0.005347021708908138
84,Tabula Sapiens - All Cells,stromal cell,female,European,2,0.010694043417816277
85,Tabula Sapiens - All Cells,monocyte,female,European,1,0.005347021708908138
