,Cortical Collecting Duct Intercalated Type A,Distal Convoluted Tubule Type 1,Vascular Smooth Muscle / Pericyte,Peritubular Capilary Endothelial ,Inner Medullary Collecting Duct,Medullary Thick Ascending Limb,Outer Medullary Collecting Duct Principal,Connecting Tubule,Cycling Mononuclear Phagocyte,Parietal Epithelial,Outer Medullary Collecting Duct Intercalated Type A,Descending Vasa Recta Endothelial ,Papillary Tip Epithelial,Macula Densa,Afferent / Efferent Arteriole Endothelial,Podocyte,Ascending Thin Limb,M2 Macrophage,Monocyte-derived,Descending Thin Limb Type 1,T,Plasmacytoid Dendritic,Lymphatic Endothelial,Glomerular Capillary Endothelial,Descending Thin Limb Type 2,Cortical Vascular Smooth Muscle / Pericyte,Neutrophil,Classical Dendritic,Proximal Tubule Epithelial Segment 2,Medullary Fibroblast,Distal Convoluted Tubule Type 2,Fibroblast,Schwann / Neural,Connecting Tubule Principal,Intercalated Type B,Proximal Tubule Epithelial Segment 1,B,Natural Killer T,Cortical Collecting Duct Principal,Renin-positive Juxtaglomerular Granular,Cortical Thick Ascending Limb,Connecting Tubule Intercalated Type A,Ascending Vasa Recta Endothelial,Proximal Tubule Epithelial Segment 3,Mast,Non-classical monocyte,Plasma,Descending Thin Limb Type 3,Mesangial,HuBMAP_dataset_id
10,167,279,3,39,1813,219,22,1295,0,8,0,2,0,285,1,57,15,56,25,804,159,0,6,11,599,1,0,0,0,3,4,43,0,0,57,189,9,0,24,0,1168,0,0,135,0,0,20,2,0,HBM268.RGJT.587
11,14,10,4,7,1388,355,0,70,0,0,26,24,0,26,1,0,9,0,0,580,0,0,0,0,5,2,0,0,0,31,0,15,0,3,1,0,0,0,47,0,359,0,11,0,0,0,0,8,1,HBM272.FWMV.423
12,5,110,9,20,1792,307,2,133,0,2,4,22,0,4,8,34,13,0,0,253,0,0,0,11,48,3,0,0,3,7,0,36,0,2,1,91,0,0,48,0,779,0,4,239,0,0,0,6,0,HBM275.PDRR.759
13,62,2253,80,135,662,39,5,4767,0,95,510,33,7,35,16,128,795,26,5,467,0,0,2,68,1884,49,0,433,2,10,21,1054,1,237,158,1849,0,0,477,1,4923,7,274,1093,36,0,1,90,9,HBM282.BKRZ.254
14,0,0,0,0,4300,0,0,1915,0,0,0,0,1189,0,0,0,0,107,0,768,3,0,8,0,0,31,0,0,0,592,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HBM297.TTGF.282
15,30,10,6,5,2073,141,9,1345,0,2,17,10,0,66,0,0,7,3,0,2201,0,0,1,2,4,5,1,0,0,54,0,58,0,9,2,0,0,0,199,0,218,1,8,1,0,0,0,5,0,HBM297.XVDG.492
16,47,2009,109,258,1720,124,111,1314,0,98,249,74,3,22,160,168,3462,82,21,289,7,0,2,69,2180,74,2,189,0,81,27,1227,12,102,89,2747,2,0,472,0,8210,1,159,1194,14,7,43,62,132,HBM332.KQWB.454
17,961,7276,292,332,4823,2676,72,4246,5,221,353,243,0,207,213,49,3040,51,45,9783,2,0,0,5,4820,51,0,0,0,543,0,1208,0,374,386,97,1,1,15652,1,3924,0,445,213,0,0,0,190,26367,HBM339.FPMK.994
18,123,2659,158,292,5809,1210,197,2646,0,173,567,73,11,36,136,522,1125,112,25,649,0,1,1,312,1421,142,0,486,1,108,43,1942,6,166,225,4518,2,0,711,1,6869,3,161,892,71,0,5,289,153,HBM347.MRTV.333
19,0,0,106,4,5816,1,0,2614,0,3,0,1,166,0,0,1,0,64,0,2006,0,0,0,0,0,53,0,0,0,555,0,563,0,0,0,1,0,0,43,0,0,0,0,0,0,0,0,1,2,HBM349.BJZL.272
20,142,784,10,134,761,264,15,1459,0,1,4,1,0,22,1,30,8,66,4,894,157,1,0,8,167,0,0,0,1,2,0,45,0,98,93,509,1,0,94,0,79,0,1,363,0,0,5,4,0,HBM356.QPJF.839
21,11,892,35,2,1919,380,12,2028,0,12,12,1,18,243,3,73,37,31,0,2722,0,0,2,15,419,60,0,1,1,151,0,2082,0,19,0,33,2,0,93,2,223,0,11,76,0,0,1,370,8,HBM372.TFNT.572
22,0,0,2,8,8556,0,0,2692,0,1,0,0,1671,0,0,0,0,370,0,1615,0,0,15,0,0,21,0,0,0,535,0,502,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,HBM375.WFJK.667
23,55,595,6,35,1548,782,9,214,0,4,4,7,0,16,1,19,38,3,0,189,1,0,0,21,131,1,0,0,5,11,0,44,0,1,15,449,0,0,72,0,266,0,6,387,0,0,0,37,2,HBM384.DLRM.527
24,175,641,0,27,465,147,2,749,0,1,21,0,0,1,1,1,2,1,0,1,1,0,0,1,86,0,0,0,1,0,6,2,0,28,2,646,0,0,96,0,15,0,1,63,0,0,0,0,0,HBM388.SGMJ.342
25,70,4318,56,285,1815,138,58,1957,0,272,346,89,6,51,46,838,2571,92,75,479,0,0,4,224,1216,210,1,421,6,69,89,2641,37,58,221,3911,0,0,777,0,5958,39,292,1884,14,1,6,167,685,HBM393.DZDZ.972
26,37,2405,117,93,704,2828,7,2578,0,129,122,81,0,25,9,195,609,79,121,370,0,1,6,161,689,36,1,245,3,96,18,1028,2,26,169,2288,0,0,488,0,4897,5,175,878,44,0,2,5,40,HBM427.KFXP.323
27,0,0,4,0,3385,0,0,946,0,0,0,0,353,1,0,0,0,125,0,473,0,0,0,0,0,15,0,0,0,571,0,1111,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,HBM439.JPZX.574
28,6926,3173,549,1158,18451,8276,1560,16629,0,1934,844,232,0,423,178,247,3829,173,2,13850,222,0,20,123,9948,10,0,98,62,885,4,1208,0,21,784,1020,318,0,1811,0,4043,0,205,968,153,23,0,280,348,HBM443.VNQV.892
29,166,2758,39,383,1223,121,17,811,0,162,53,114,0,51,27,470,3247,143,101,449,0,0,2,197,2184,210,0,146,9,12,66,1942,34,60,159,3612,0,1,581,0,8576,4,52,3336,5,4,8,9,36,HBM447.KCHB.778
30,389,2467,34232,830,10575,1028,299,1157,0,131,144,93,0,77,14,68,5082,246,36,4149,38,0,0,398,5716,66,0,19,9,323,0,954,0,444,304,751,38,0,4923,9,5246,0,97,202,0,0,0,107,220,HBM475.CVXD.875
31,174,2796,39,281,812,130,740,1315,3,156,267,32,1,293,45,385,5561,69,17,1174,1,0,8,158,1950,135,1,132,67,73,87,1803,2,157,229,3624,2,0,634,2,6743,3,181,1385,28,3,0,35,77,HBM476.VHDB.268
32,4,14,8,2,2163,601,5,1060,0,2,55,13,0,94,1,11,53,0,0,1232,0,0,0,1,18,8,0,0,0,54,0,14,0,1,0,0,0,0,92,0,325,0,5,1,0,0,0,8,0,HBM476.ZWMS.768
33,203,18959,155,818,13808,4516,245,3698,2,618,213,183,0,93,36,41,772,124,128,6898,975,0,335,426,26212,1,0,155,1,295,1,735,0,237,191,106,373,1,11768,0,5578,0,327,140,19,0,0,122,783,HBM479.GMDK.586
34,0,0,6,0,3258,2,0,936,0,0,0,49,161,0,0,0,1399,0,0,2107,0,0,1,0,3,0,0,0,0,121,0,0,0,0,0,0,0,0,2798,0,0,0,24,0,0,0,0,134,0,HBM494.MQQL.234
35,28,1887,36,378,606,212,68,786,0,196,191,84,2,296,14,267,5803,125,16,903,0,0,3,244,1544,86,0,127,2,87,101,1226,85,68,128,3261,15,0,488,1,13213,4,113,1977,46,0,36,64,62,HBM495.ZFDT.229
36,51,1619,8,102,2142,246,5,4746,0,95,184,66,6,593,15,136,412,47,191,609,0,0,2,72,1128,81,0,277,1,10,21,857,19,46,202,2056,0,0,460,1,4868,5,228,861,1,0,1,44,285,HBM525.LRPL.332
37,260,392,39,185,1597,865,9,2494,0,0,0,0,0,67,0,48,5,60,7,386,0,0,0,73,212,50,4,0,3,19,5,179,0,4,3,344,0,0,14,0,218,0,1,172,0,0,0,25,2,HBM532.RKTB.483
38,59,1538,22,130,1352,377,24,859,0,99,63,34,9,78,114,254,4225,82,18,149,1,0,2,165,636,171,0,223,0,47,16,777,20,26,185,1903,1,0,493,1,4762,2,159,785,37,1,2,60,221,HBM537.GVTL.683
39,230,0,6,183,11199,0,0,460,0,82,0,102,2281,0,2,0,1,33,0,1445,1,0,1,0,30,89,0,8,0,1251,0,1228,0,2,62,0,0,0,515,1,0,0,5,0,1,3,0,22,0,HBM537.SKND.632
40,105,1608,41,123,869,9,3,4936,0,89,49,46,3,114,10,396,1381,93,25,329,1,0,4,118,591,38,6,3,33,30,24,1518,20,16,119,2289,1,0,497,1,1464,8,367,1930,5,4,65,21,37,HBM552.PBBF.363
41,3,10,20,72,7557,0,0,846,0,1,19,19,370,0,1,0,0,7,0,526,0,0,0,0,3,54,0,0,0,207,0,362,0,1,0,0,0,0,317,0,0,0,3,0,0,0,0,0,0,HBM563.FJNH.776
42,0,0,74,33,3161,0,0,1350,1,2,0,2,340,18,9,0,1,105,0,169,8,0,6,0,1,324,0,1,0,726,0,657,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,HBM584.JCQV.788
43,130,2089,118,301,4248,63,68,1410,0,100,280,50,8,22,18,479,927,53,33,602,1,3,7,208,449,37,2,435,2,50,14,1148,56,25,197,2749,0,0,480,0,4501,7,109,1105,18,4,10,8,52,HBM634.QQWF.789
44,104,1966,112,320,959,383,53,1303,0,109,257,108,10,172,39,556,4359,121,55,648,1,0,10,243,1334,127,1,95,4,3,32,2387,4,122,219,3366,0,6,465,2,6509,10,105,2540,5,3,2,18,48,HBM664.LQSH.693
45,42,90,11,26,1797,1205,8,1934,0,0,5,23,0,23,1,1,0,1,0,2477,0,0,0,5,27,5,0,0,0,21,1,12,0,10,0,0,0,0,60,0,523,0,20,10,0,0,0,4,0,HBM679.ZVHH.999
46,91,2540,74,443,1395,82,14,1129,1,130,146,161,2,94,21,557,3923,189,197,603,2,1,8,230,848,85,1,549,7,14,61,2313,6,80,254,3330,6,3,441,1,7450,13,205,2417,10,0,6,26,28,HBM684.TLPQ.738
47,93,2900,44,301,1227,428,34,1198,0,78,212,82,10,11,8,859,4567,78,8,587,5,0,4,202,513,119,0,87,1,56,120,2348,1,99,161,4450,0,1,531,1,10773,4,167,1690,1,3,55,112,75,HBM688.FLJB.475
48,0,106,4,6,3450,2706,6,2581,0,5,6,8,24,42,0,1,394,17,0,4447,1,0,0,0,43,1,0,0,0,144,0,608,0,14,0,2,0,0,86,0,236,0,6,32,0,0,0,22,0,HBM688.LGBS.644
49,0,4,2,12,1290,0,0,502,0,1,0,1,57,2,0,0,6,3,1,709,0,0,0,0,2,1,0,0,0,37,0,3,0,2,0,0,0,0,76,0,0,0,4,0,0,0,0,1,0,HBM692.FLDL.779
50,1,0,54,6,12862,0,134,3425,0,12,0,17,967,1,1,3,2,119,0,1193,0,0,2,0,1,62,0,0,0,1051,0,953,4,4,1,1,0,0,113,0,0,0,1,0,0,4,0,2,1,HBM697.GKCG.783
51,0,0,0,0,6859,0,0,51,0,0,0,0,258,0,0,0,0,0,0,798,0,0,0,0,0,1,0,0,0,23,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,HBM724.LVHJ.956
52,0,0,0,0,1456,0,0,139,0,0,0,0,90,0,0,0,0,26,0,906,0,0,0,0,0,76,0,0,0,131,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HBM729.RCXL.887
53,0,0,493,1,12386,0,0,1659,0,2,0,3,917,0,0,0,0,151,2,3945,0,0,15,0,0,66,0,0,0,703,0,644,2,1,0,1,1,0,4,0,0,0,0,1,0,2,0,0,0,HBM742.PSCP.565
54,2,83,2,11,921,665,2,554,0,1,4,1,0,17,8,6,3,0,0,864,0,0,0,8,155,4,0,0,2,7,0,36,0,0,0,93,0,0,39,0,356,0,0,129,0,0,0,25,1,HBM745.XMRR.874
55,0,0,0,0,242,0,2,24,0,1,0,0,0,0,0,0,2,0,0,150,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,38,0,0,0,3,0,0,2,0,1,0,HBM752.ZRBH.538
56,7,10,190,32,2183,4,0,248,0,10,0,9,9,2,3,3,1,21,0,727,3,0,3,1,9,162,0,0,0,101,0,204,0,0,0,1,0,0,35,1,0,0,1,3,0,0,1,8,8,HBM772.WGBN.852
57,67,769,2,75,1202,408,0,2083,0,4,19,0,0,2,0,10,1,30,0,388,1,0,0,0,375,0,0,0,8,4,2,26,0,11,38,530,0,0,15,1,94,0,0,155,0,0,0,88,2,HBM785.LNQZ.992
58,19,271,16,34,82,294,9,1029,0,3,9,27,0,81,7,0,36,0,0,338,2,0,0,7,3,4,0,0,0,26,0,29,0,3,1,2,2,0,67,0,568,0,21,0,0,0,1,2,1,HBM786.HSRC.868
59,5,21,0,0,1063,883,15,26,0,0,15,1,0,5,0,0,1,0,0,1255,0,0,0,1,35,1,0,0,7,2,0,0,0,0,0,57,0,0,107,0,463,0,3,32,0,0,0,2,0,HBM793.QCGM.999
60,0,0,0,3,5932,0,0,1,0,0,0,0,2187,0,9,0,0,335,0,1495,0,0,0,0,0,27,0,0,0,287,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HBM799.ZJDP.379
61,21,255,4,7,1540,1320,5,64,0,2,3,0,0,32,0,23,67,0,0,40,0,0,0,3,148,0,0,0,5,11,1,43,4,2,2,637,0,0,49,1,112,1,0,579,0,1,0,17,1,HBM826.VZFT.824
62,101,2644,52,200,1131,740,119,1659,0,120,389,69,29,20,14,908,3269,54,82,613,15,0,138,246,1164,136,0,93,1,34,114,2188,3,87,192,4185,2,1,542,1,10684,7,339,1681,16,1,63,59,99,HBM834.THPC.928
63,0,2,3,0,4233,12,0,1158,0,21,0,0,2,0,0,0,53,0,0,4974,0,0,0,1,10,0,0,0,0,377,0,10,0,0,0,0,0,0,92,0,0,0,5,0,0,0,0,43,0,HBM837.HQNL.776
64,0,1,0,0,25,857,1,933,0,0,0,0,0,2,1,0,0,4,0,491,0,0,0,0,3,0,0,0,1,37,0,10,0,0,0,0,0,0,0,0,18,0,1,1,0,0,0,1,0,HBM837.TDQQ.538
65,0,0,0,0,89,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HBM843.QHNR.854
66,191,1552,21,110,3741,558,12,1674,0,99,314,39,5,82,22,284,52,85,127,344,0,0,2,165,873,94,0,260,0,65,16,878,10,69,276,1624,0,0,555,1,5046,1,93,584,2,0,4,9,243,HBM844.KXXX.692
67,60,377,14,166,1459,408,2,1168,0,8,156,2,1,15,3,53,83,36,0,47,17,0,6,12,166,15,0,0,0,2,0,7,0,1,5,268,1,9,20,0,99,0,2,132,0,1,0,1,2,HBM865.TRVX.355
68,40,2927,63,337,3463,256,36,648,0,113,178,44,7,79,18,481,343,116,80,607,3,0,4,266,1499,177,1,28,3,133,54,1667,38,77,200,3598,0,1,519,2,16192,36,85,1549,27,2,53,9,17,HBM873.NSHG.559
69,70,2323,130,357,628,107,20,934,0,53,159,42,8,182,31,438,4039,182,33,656,2,0,3,196,1641,189,1,15,2,32,82,2394,6,90,150,3464,5,7,790,0,14333,2,134,3164,9,1,5,52,34,HBM876.HTRX.668
70,0,0,39,1,4736,0,0,248,0,0,0,0,29,0,2,0,0,34,0,1145,0,0,0,0,0,56,0,0,0,205,0,500,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,HBM879.RZJJ.974
71,10,6,2,7,106,429,1,312,0,2,19,8,2,10,0,0,43,3,2,327,0,0,0,2,18,0,0,0,0,36,0,5,0,0,5,0,0,0,82,0,29,0,20,0,0,0,0,13,0,HBM884.TGCL.432
72,4,0,9,1,1462,46,0,2078,3,4,17,50,68,19,1,0,278,16,2,3092,0,0,0,1,20,7,0,0,0,277,0,8,0,2,1,3,0,0,710,0,1,0,39,1,0,0,0,86,1,HBM892.HQDK.764
73,12,4,13,1,953,5523,4,1807,0,17,9,10,60,5,1,0,48,2,0,337,0,0,0,0,10,1,1,0,0,307,0,45,0,3,4,0,0,0,570,1,14,0,4,10,0,0,0,23,2,HBM932.TBDW.952
74,0,10,4,0,2970,2,0,1659,0,0,0,21,601,0,0,0,176,7,0,1393,0,0,1,0,1,0,0,0,0,313,0,2,0,0,0,0,1,0,613,0,0,0,298,0,0,0,0,39,0,HBM938.FTRX.289
75,57,3249,62,358,5419,331,125,1173,0,135,184,70,3,398,24,414,227,146,98,704,4,0,6,129,952,200,1,1,2,10,97,2209,18,105,403,2906,1,4,414,2,11061,16,93,2728,0,1,13,18,37,HBM942.NXWW.245
76,15,1,5,4,3337,0,0,1644,0,0,11,3,68,1,27,0,4,264,6,453,3,0,14,0,1,118,1,0,0,311,0,608,1,76,6,0,2,0,5,0,0,0,0,0,0,6,1,0,3,HBM944.XPFX.655
77,82,1627,26,192,1940,18,10,1485,0,22,151,23,2,10,16,500,2880,142,25,557,2,1,3,116,800,90,1,626,0,87,28,1303,17,21,110,2273,1,2,487,1,1395,2,315,1896,8,7,3,98,38,HBM958.GZCX.985
78,442,2916,224,258,543,142,41,2064,0,174,631,33,2,389,53,389,1067,130,52,3845,1,0,14,154,2568,119,2,123,59,12,87,2003,14,151,464,3181,3,1,660,1,6686,1,261,1738,3,3,0,56,50,HBM979.KNQM.454
79,0,0,8,0,141,580,13,147,0,1,34,3,3,5,0,0,62,2,0,344,0,0,1,0,9,0,0,0,0,31,0,1,0,0,1,0,0,1,72,0,18,0,11,0,0,0,0,12,0,HBM987.RLTF.378
80,33,49,2,20,1082,547,3,78,0,1,18,21,0,32,2,28,9,0,0,981,0,0,0,8,33,1,0,0,1,6,0,1,0,5,3,48,1,0,138,0,797,0,18,11,0,1,0,4,0,HBM987.ZCTQ.736
81,0,2,5,0,1596,39,0,434,0,2,0,3,118,1,1,0,2,64,24,180,22,0,4,0,9,40,0,0,0,11,0,74,0,0,0,0,17,6,144,0,0,0,1,0,1,13,2,5,0,HBM994.XRGN.328
82,67,1390,152,207,4138,230,18,769,0,82,161,62,4,13,9,180,800,92,360,422,1,0,21,137,1153,204,0,37,15,49,9,1257,6,270,135,2075,1,1,462,1,7281,8,215,688,44,0,2,42,10,HBM996.XSNK.694
