,Classical Dendritic,Connecting Tubule,Distal Convoluted Tubule Type 2,Ascending Vasa Recta Endothelial,Glomerular Capillary Endothelial,Renin-positive Juxtaglomerular Granular,Cortical Collecting Duct Principal,Medullary Thick Ascending Limb,Cortical Vascular Smooth Muscle / Pericyte,T,Neutrophil,Proximal Tubule Epithelial Segment 2,Medullary Fibroblast,Outer Medullary Collecting Duct Intercalated Type A,Non-classical monocyte,Cycling Mononuclear Phagocyte,Inner Medullary Collecting Duct,Parietal Epithelial,Podocyte,Proximal Tubule Epithelial Segment 1,Plasma,Cortical Thick Ascending Limb,Schwann / Neural,Mast,Distal Convoluted Tubule Type 1,Outer Medullary Collecting Duct Principal,Mesangial,Afferent / Efferent Arteriole Endothelial,B,Connecting Tubule Principal,Descending Thin Limb Type 1,Descending Thin Limb Type 3,Ascending Thin Limb,Intercalated Type B,Monocyte-derived,Vascular Smooth Muscle / Pericyte,Cortical Collecting Duct Intercalated Type A,M2 Macrophage,Connecting Tubule Intercalated Type A,Natural Killer T,Papillary Tip Epithelial,Proximal Tubule Epithelial Segment 3,Plasmacytoid Dendritic,Fibroblast,Peritubular Capilary Endothelial ,Descending Vasa Recta Endothelial ,Lymphatic Endothelial,Descending Thin Limb Type 2,Macula Densa,HuBMAP_tissue_block_id
13,433,4767,21,274,68,1,477,39,49,0,0,2,10,510,0,0,662,95,128,1849,1,4923,1,36,2253,5,9,16,0,237,467,90,795,158,5,80,62,26,7,0,7,1093,0,1054,135,33,2,1884,35,HBM964.XZCR.478
14,0,1915,0,0,0,0,0,0,31,3,0,0,592,0,0,0,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,107,0,0,1189,0,0,86,0,0,8,0,0,HBM796.XJWH.729
15,0,1345,0,8,2,0,199,141,5,0,1,0,54,17,0,0,2073,2,0,0,0,218,0,0,10,9,0,0,0,9,2201,5,7,2,0,6,30,3,1,0,0,1,0,58,5,10,1,4,66,HBM979.SSNH.934
16,189,1314,27,159,69,0,472,124,74,7,2,0,81,249,7,0,1720,98,168,2747,43,8210,12,14,2009,111,132,160,2,102,289,62,3462,89,21,109,47,82,1,0,3,1194,0,1227,258,74,2,2180,22,HBM964.XZCR.478
17,0,4246,0,445,5,1,15652,2676,51,2,0,0,543,353,0,5,4823,221,49,97,0,3924,0,0,7276,72,26367,213,1,374,9783,190,3040,386,45,292,961,51,0,1,0,213,0,1208,332,243,0,4820,207,
18,486,2646,43,161,312,1,711,1210,142,0,0,1,108,567,0,0,5809,173,522,4518,5,6869,6,71,2659,197,153,136,2,166,649,289,1125,225,25,158,123,112,3,0,11,892,1,1942,292,73,1,1421,36,HBM964.XZCR.478
19,0,2614,0,0,0,0,43,1,53,0,0,0,555,0,0,0,5816,3,1,1,0,0,0,0,0,0,2,0,0,0,2006,1,0,0,0,106,0,64,0,0,166,0,0,563,4,1,0,0,0,HBM486.QXHD.874
20,0,1459,0,1,8,0,94,264,0,157,0,1,2,4,0,0,761,1,30,509,5,79,0,0,784,15,0,1,1,98,894,4,8,93,4,10,142,66,0,0,0,363,1,45,134,1,0,167,22,HBM853.SNJJ.892
21,1,2028,0,11,15,2,93,380,60,0,0,1,151,12,0,0,1919,12,73,33,1,223,0,0,892,12,8,3,2,19,2722,370,37,0,0,35,11,31,0,0,18,76,0,2082,2,1,2,419,243,HBM434.JDFP.839
22,0,2692,0,0,0,0,1,0,21,0,0,0,535,0,1,0,8556,1,0,0,0,0,0,0,0,0,3,0,0,0,1615,0,0,0,0,2,0,370,0,0,1671,0,0,502,8,0,15,0,0,HBM788.KSZC.942
23,0,214,0,6,21,0,72,782,1,1,0,5,11,4,0,0,1548,4,19,449,0,266,0,0,595,9,2,1,0,1,189,37,38,15,0,6,55,3,0,0,0,387,0,44,35,7,0,131,16,HBM345.QSPF.289
24,0,749,6,1,1,0,96,147,0,1,0,1,0,21,0,0,465,1,1,646,0,15,0,0,641,2,0,1,0,28,1,0,2,2,0,0,175,1,0,0,0,63,0,2,27,0,0,86,1,HBM496.GJFX.393
25,421,1957,89,292,224,0,777,138,210,0,1,6,69,346,1,0,1815,272,838,3911,6,5958,37,14,4318,58,685,46,0,58,479,167,2571,221,75,56,70,92,39,0,6,1884,0,2641,285,89,4,1216,51,HBM964.XZCR.478
26,245,2578,18,175,161,0,488,2828,36,0,1,3,96,122,0,0,704,129,195,2288,2,4897,2,44,2405,7,40,9,0,26,370,5,609,169,121,117,37,79,5,0,0,878,1,1028,93,81,6,689,25,HBM964.XZCR.478
27,0,946,0,0,0,0,1,0,15,0,0,0,571,0,0,0,3385,0,0,0,0,0,0,0,0,0,0,0,0,12,473,0,0,0,0,4,0,125,0,0,353,0,0,1111,0,0,0,0,1,HBM782.RNDZ.677
28,98,16629,4,205,123,0,1811,8276,10,222,0,62,885,844,23,0,18451,1934,247,1020,0,4043,0,153,3173,1560,348,178,318,21,13850,280,3829,784,2,549,6926,173,0,0,0,968,0,1208,1158,232,20,9948,423,
29,146,811,66,52,197,0,581,121,210,0,0,9,12,53,4,0,1223,162,470,3612,8,8576,34,5,2758,17,36,27,0,60,449,9,3247,159,101,39,166,143,4,1,0,3336,0,1942,383,114,2,2184,51,HBM964.XZCR.478
30,19,1157,0,97,398,9,4923,1028,66,38,0,9,323,144,0,0,10575,131,68,751,0,5246,0,0,2467,299,220,14,38,444,4149,107,5082,304,36,34232,389,246,0,0,0,202,0,954,830,93,0,5716,77,
31,132,1315,87,181,158,2,634,130,135,1,1,67,73,267,3,3,812,156,385,3624,0,6743,2,28,2796,740,77,45,2,157,1174,35,5561,229,17,39,174,69,3,0,1,1385,0,1803,281,32,8,1950,293,HBM964.XZCR.478
32,0,1060,0,5,1,0,92,601,8,0,0,0,54,55,0,0,2163,2,11,0,0,325,0,0,14,5,0,1,0,1,1232,8,53,0,0,8,4,0,0,0,0,1,0,14,2,13,0,18,94,HBM339.DBQF.784
33,155,3698,1,327,426,0,11768,4516,1,975,0,1,295,213,0,2,13808,618,41,106,0,5578,0,19,18959,245,783,36,373,237,6898,122,772,191,128,155,203,124,0,1,0,140,0,735,818,183,335,26212,93,
34,0,936,0,24,0,0,2798,2,0,0,0,0,121,0,0,0,3258,0,0,0,0,0,0,0,0,0,0,0,0,0,2107,134,1399,0,0,6,0,0,0,0,161,0,0,0,0,49,1,3,0,HBM638.HSFV.957
35,127,786,101,113,244,1,488,212,86,0,0,2,87,191,0,0,606,196,267,3261,36,13213,85,46,1887,68,62,14,15,68,903,64,5803,128,16,36,28,125,4,0,2,1977,0,1226,378,84,3,1544,296,HBM964.XZCR.478
36,277,4746,21,228,72,1,460,246,81,0,0,1,10,184,0,0,2142,95,136,2056,1,4868,19,1,1619,5,285,15,0,46,609,44,412,202,191,8,51,47,5,0,6,861,0,857,102,66,2,1128,593,HBM964.XZCR.478
37,0,2494,5,1,73,0,14,865,50,0,4,3,19,0,0,0,1597,0,48,344,0,218,0,0,392,9,2,0,0,4,386,25,5,3,7,39,260,60,0,0,0,172,0,179,185,0,0,212,67,HBM534.PQDR.545
38,223,859,16,159,165,1,493,377,171,1,0,0,47,63,1,0,1352,99,254,1903,2,4762,20,37,1538,24,221,114,1,26,149,60,4225,185,18,22,59,82,2,0,9,785,0,777,130,34,2,636,78,HBM964.XZCR.478
39,8,460,0,5,0,1,515,0,89,1,0,0,1251,0,3,0,11199,82,0,0,0,0,0,1,0,0,0,2,0,2,1445,22,1,62,0,6,230,33,0,0,2281,0,0,1228,183,102,1,30,0,HBM566.KXSQ.967
40,3,4936,24,367,118,1,497,9,38,1,6,33,30,49,4,0,869,89,396,2289,65,1464,20,5,1608,3,37,10,1,16,329,21,1381,119,25,41,105,93,8,0,3,1930,0,1518,123,46,4,591,114,HBM964.XZCR.478
41,0,846,0,3,0,0,317,0,54,0,0,0,207,19,0,0,7557,1,0,0,0,0,0,0,10,0,0,1,0,1,526,0,0,0,0,20,3,7,0,0,370,0,0,362,72,19,0,3,0,HBM587.VWCF.356
42,1,1350,0,2,0,0,0,0,324,8,0,0,726,0,0,1,3161,2,0,0,0,0,0,0,0,0,1,9,1,1,169,1,1,0,0,74,0,105,0,0,340,0,0,657,33,2,6,1,18,HBM556.CFNP.485
43,435,1410,14,109,208,0,480,63,37,1,2,2,50,280,4,0,4248,100,479,2749,10,4501,56,18,2089,68,52,18,0,25,602,8,927,197,33,118,130,53,7,0,8,1105,3,1148,301,50,7,449,22,HBM964.XZCR.478
44,95,1303,32,105,243,2,465,383,127,1,1,4,3,257,3,0,959,109,556,3366,2,6509,4,5,1966,53,48,39,0,122,648,18,4359,219,55,112,104,121,10,6,10,2540,0,2387,320,108,10,1334,172,HBM964.XZCR.478
45,0,1934,1,20,5,0,60,1205,5,0,0,0,21,5,0,0,1797,0,1,0,0,523,0,0,90,8,0,1,0,10,2477,4,0,0,0,11,42,1,0,0,0,10,0,12,26,23,0,27,23,HBM562.WMRL.498
46,549,1129,61,205,230,1,441,82,85,2,1,7,14,146,0,1,1395,130,557,3330,6,7450,6,10,2540,14,28,21,6,80,603,26,3923,254,197,74,91,189,13,3,2,2417,1,2313,443,161,8,848,94,HBM964.XZCR.478
47,87,1198,120,167,202,1,531,428,119,5,0,1,56,212,3,0,1227,78,859,4450,55,10773,1,1,2900,34,75,8,0,99,587,112,4567,161,8,44,93,78,4,1,10,1690,0,2348,301,82,4,513,11,HBM964.XZCR.478
48,0,2581,0,6,0,0,86,2706,1,1,0,0,144,6,0,0,3450,5,1,2,0,236,0,0,106,6,0,0,0,14,4447,22,394,0,0,4,0,17,0,0,24,32,0,608,6,8,0,43,42,HBM838.FRWC.772
49,0,502,0,4,0,0,76,0,1,0,0,0,37,0,0,0,1290,1,0,0,0,0,0,0,4,0,0,0,0,2,709,1,6,0,1,2,0,3,0,0,57,0,0,3,12,1,0,2,2,HBM224.HCFB.249
50,0,3425,0,1,0,0,113,0,62,0,0,0,1051,0,4,0,12862,12,3,1,0,0,4,0,0,134,1,1,0,4,1193,2,2,1,0,54,1,119,0,0,967,0,0,953,6,17,2,1,1,HBM574.LFRK.262
51,0,51,0,0,0,0,1,0,1,0,0,0,23,0,0,0,6859,0,0,0,0,0,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,258,0,0,8,0,0,0,0,0,HBM455.PRVR.965
52,0,139,0,0,0,0,0,0,76,0,0,0,131,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,26,0,0,90,0,0,176,0,0,0,0,0,HBM336.BZXG.436
53,0,1659,0,0,0,0,4,0,66,0,0,0,703,0,2,0,12386,2,0,1,0,0,2,0,0,0,0,0,1,1,3945,0,0,0,2,493,0,151,0,0,917,1,0,644,1,3,15,0,0,HBM574.LFRK.262
54,0,554,0,0,8,0,39,665,4,0,0,2,7,4,0,0,921,1,6,93,0,356,0,0,83,2,1,8,0,0,864,25,3,0,0,2,2,0,0,0,0,129,0,36,11,1,0,155,17,HBM757.NMDS.629
55,0,24,0,3,0,0,38,0,0,0,0,0,36,0,2,0,242,1,0,0,0,0,0,0,0,2,0,0,0,0,150,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HBM667.TFXK.856
56,0,248,0,1,1,1,35,4,162,3,0,0,101,0,0,0,2183,10,3,1,1,0,0,0,10,0,8,3,0,0,727,8,1,0,0,190,7,21,0,0,9,3,0,204,32,9,3,9,2,HBM297.PFXV.394
57,0,2083,2,0,0,1,15,408,0,1,0,8,4,19,0,0,1202,4,10,530,0,94,0,0,769,0,2,0,0,11,388,88,1,38,0,2,67,30,0,0,0,155,0,26,75,0,0,375,2,HBM833.VZTL.864
58,0,1029,0,21,7,0,67,294,4,2,0,0,26,9,0,0,82,3,0,2,1,568,0,0,271,9,1,7,2,3,338,2,36,1,0,16,19,0,0,0,0,0,0,29,34,27,0,3,81,HBM449.THVK.739
59,0,26,0,3,1,0,107,883,1,0,0,7,2,15,0,0,1063,0,0,57,0,463,0,0,21,15,0,0,0,0,1255,2,1,0,0,0,5,0,0,0,0,32,0,0,0,1,0,35,5,HBM642.VZNT.722
60,0,1,0,0,0,0,0,0,27,0,0,0,287,0,0,0,5932,0,0,0,0,0,0,0,0,0,0,9,0,0,1495,0,0,0,0,0,0,335,0,0,2187,0,0,484,3,0,0,0,0,HBM788.KSZC.942
61,0,64,1,0,3,1,49,1320,0,0,0,5,11,3,1,0,1540,2,23,637,0,112,4,0,255,5,1,0,0,2,40,17,67,2,0,4,21,0,1,0,0,579,0,43,7,0,0,148,32,HBM345.QSPF.289
62,93,1659,114,339,246,1,542,740,136,15,0,1,34,389,1,0,1131,120,908,4185,63,10684,3,16,2644,119,99,14,2,87,613,59,3269,192,82,52,101,54,7,1,29,1681,0,2188,200,69,138,1164,20,HBM964.XZCR.478
63,0,1158,0,5,1,0,92,12,0,0,0,0,377,0,0,0,4233,21,0,0,0,0,0,0,2,0,0,0,0,0,4974,43,53,0,0,3,0,0,0,0,2,0,0,10,0,0,0,10,0,HBM525.HTJF.586
64,0,933,0,1,0,0,0,857,0,0,0,1,37,0,0,0,25,0,0,0,0,18,0,0,1,1,0,1,0,0,491,1,0,0,0,0,0,4,0,0,0,1,0,10,0,0,0,3,2,HBM695.TGJS.338
65,0,0,0,0,0,0,0,1627,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,HBM653.SFTB.462
66,260,1674,16,93,165,1,555,558,94,0,0,0,65,314,0,0,3741,99,284,1624,4,5046,10,2,1552,12,243,22,0,69,344,9,52,276,127,21,191,85,1,0,5,584,0,878,110,39,2,873,82,HBM964.XZCR.478
67,0,1168,0,2,12,0,20,408,15,17,0,0,2,156,1,0,1459,8,53,268,0,99,0,0,377,2,2,3,1,1,47,1,83,5,0,14,60,36,0,9,1,132,0,7,166,2,6,166,15,HBM453.BKZB.338
68,28,648,54,85,266,2,519,256,177,3,1,3,133,178,2,0,3463,113,481,3598,53,16192,38,27,2927,36,17,18,0,77,607,9,343,200,80,63,40,116,36,1,7,1549,0,1667,337,44,4,1499,79,HBM964.XZCR.478
69,15,934,82,134,196,0,790,107,189,2,1,2,32,159,1,0,628,53,438,3464,5,14333,6,9,2323,20,34,31,5,90,656,52,4039,150,33,130,70,182,2,7,8,3164,0,2394,357,42,3,1641,182,HBM964.XZCR.478
70,0,248,0,0,0,0,0,0,56,0,0,0,205,0,0,0,4736,0,0,0,1,0,0,0,0,0,0,2,4,0,1145,0,0,0,0,39,0,34,0,0,29,0,0,500,1,0,0,0,0,HBM752.DHVB.758
71,0,312,0,20,2,0,82,429,0,0,0,0,36,19,0,0,106,2,0,0,0,29,0,0,6,1,0,0,0,0,327,13,43,5,2,2,10,3,0,0,2,0,0,5,7,8,0,18,10,HBM635.PSTJ.637
72,0,2078,0,39,1,0,710,46,7,0,0,0,277,17,0,3,1462,4,0,3,0,1,0,0,0,0,1,1,0,2,3092,86,278,1,2,9,4,16,0,0,68,1,0,8,1,50,0,20,19,HBM937.HPQL.829
73,0,1807,0,4,0,1,570,5523,1,0,1,0,307,9,0,0,953,17,0,0,0,14,0,0,4,4,2,1,0,3,337,23,48,4,0,13,12,2,0,0,60,10,0,45,1,10,0,10,5,HBM974.MTJZ.548
74,0,1659,0,298,0,0,613,2,0,0,0,0,313,0,0,0,2970,0,0,0,0,0,0,0,10,0,0,0,1,0,1393,39,176,0,0,4,0,7,0,0,601,0,0,2,0,21,1,1,0,HBM547.QLDF.845
75,1,1173,97,93,129,2,414,331,200,4,1,2,10,184,1,0,5419,135,414,2906,13,11061,18,0,3249,125,37,24,1,105,704,18,227,403,98,62,57,146,16,4,3,2728,0,2209,358,70,6,952,398,HBM964.XZCR.478
76,0,1644,0,0,0,0,5,0,118,3,1,0,311,11,6,0,3337,0,0,0,1,0,1,0,1,0,3,27,2,76,453,0,4,6,6,5,15,264,0,0,68,0,0,608,4,3,14,1,1,HBM748.GDSK.748
77,626,1485,28,315,116,1,487,18,90,2,1,0,87,151,7,0,1940,22,500,2273,3,1395,17,8,1627,10,38,16,1,21,557,98,2880,110,25,26,82,142,2,2,2,1896,1,1303,192,23,3,800,10,HBM964.XZCR.478
78,123,2064,87,261,154,1,660,142,119,1,2,59,12,631,3,0,543,174,389,3181,0,6686,14,3,2916,41,50,53,3,151,3845,56,1067,464,52,224,442,130,1,1,2,1738,0,2003,258,33,14,2568,389,HBM964.XZCR.478
79,0,147,0,11,0,0,72,580,0,0,0,0,31,34,0,0,141,1,0,0,0,18,0,0,0,13,0,0,0,0,344,12,62,1,0,8,0,2,0,1,3,0,0,1,0,3,1,9,5,HBM635.PSTJ.637
80,0,78,0,18,8,0,138,547,1,0,0,1,6,18,1,0,1082,1,28,48,0,797,0,0,49,3,0,2,1,5,981,4,9,3,0,2,33,0,0,0,0,11,0,1,20,21,0,33,32,HBM642.VZNT.722
81,0,434,0,1,0,0,144,39,40,22,0,0,11,0,13,0,1596,2,0,0,2,0,0,1,2,0,0,1,17,0,180,5,2,0,24,5,0,64,0,6,118,0,0,74,0,3,4,9,1,HBM876.SJWP.278
82,37,769,9,215,137,1,462,230,204,1,0,15,49,161,0,0,4138,82,180,2075,2,7281,6,44,1390,18,10,9,1,270,422,42,800,135,360,152,67,92,8,1,4,688,0,1257,207,62,21,1153,13,HBM964.XZCR.478
