,dataset_id,HuBMAP_tissue_block_id
323,HBM399.MWFF.783,HBM777.FXGQ.664
324,HBM399.TFTQ.282,HBM339.DBQF.784
325,HBM399.TFTQ.282,HBM779.PTHT.732
326,HBM422.MKWK.448,HBM734.MCNP.326
327,HBM422.MKWK.448,HBM872.VTRJ.863
328,HBM423.CFPF.283,HBM973.CRMG.832
329,HBM424.HCKP.222,HBM453.GCQJ.964
330,HBM424.HCKP.222,HBM534.JJTS.299
331,HBM424.STVV.842,HBM633.PRRH.456
332,HBM424.STVV.842,HBM799.WGWR.477
333,HBM425.FXBW.445,HBM736.NQNZ.734
334,HBM425.MSBX.963,HBM525.HTJF.586
335,HBM425.MSBX.963,HBM972.RTFD.763
336,HBM425.ZCSZ.825,HBM989.ZFVH.366
337,HBM425.ZCSZ.825,HBM996.SDNT.327
338,HBM426.CDKT.979,HBM279.ZBSM.472
339,HBM426.HLCN.236,HBM642.VZNT.722
340,HBM426.HLCN.236,HBM653.SDCX.322
341,HBM428.GPCD.698,HBM279.ZBSM.472
342,HBM429.GXGF.662,HBM465.JWQL.645
343,HBM429.LLRT.546,HBM626.RGND.384
344,HBM429.LLRT.546,HBM785.HGPQ.223
345,HBM432.BPZM.698,HBM562.WMRL.498
346,HBM432.BPZM.698,HBM798.ZZBP.697
347,HBM432.RXTV.994,HBM622.DQNP.599
348,HBM433.XXZF.683,HBM269.XSXP.962
349,HBM433.XXZF.683,HBM578.GNTF.748
350,HBM434.GKNQ.757,HBM733.MDFT.436
351,HBM434.NVPJ.787,HBM222.SQKD.292
352,HBM434.NVPJ.787,HBM682.PRLT.374
353,HBM435.LJRQ.646,HBM345.QSPF.289
354,HBM435.LJRQ.646,HBM872.XRHM.685
355,HBM435.WLKV.658,HBM279.ZBSM.472
356,HBM436.QPXH.885,HBM255.XXFK.472
357,HBM436.QPXH.885,HBM724.ZQKX.379
358,HBM437.FKCS.387,HBM723.WVZJ.827
359,HBM438.JXJW.249,HBM695.THKG.748
360,HBM438.JXJW.249,HBM978.CQCD.687
361,HBM439.WJDV.974,HBM342.BQPD.849
362,HBM439.WJDV.974,HBM677.NWSV.346
363,HBM442.GZFZ.522,HBM399.HRKG.458
364,HBM442.HSFZ.838,HBM534.PQDR.545
365,HBM442.HSFZ.838,HBM658.HLPP.972
366,HBM442.SBCR.983,HBM449.THVK.739
367,HBM442.SBCR.983,HBM529.CXVH.794
368,HBM442.ZDMV.523,HBM578.GNTF.748
369,HBM442.ZDMV.523,HBM867.KTVV.927
370,HBM443.LGZK.435,HBM467.BPFL.284
371,HBM443.LGZK.435,HBM944.KDNK.782
372,HBM443.TQKQ.624,HBM223.KDVZ.277
373,HBM443.TQKQ.624,HBM439.XLQC.765
374,HBM444.BXPJ.728,HBM665.QHRJ.735
375,HBM444.BXPJ.728,HBM695.TGJS.338
376,HBM445.NPKW.958,HBM339.DBQF.784
377,HBM445.NPKW.958,HBM779.PTHT.732
378,HBM446.FXTJ.757,HBM279.ZBSM.472
379,HBM449.QWKP.753,HBM823.GGSW.733
380,HBM449.QWKP.753,HBM999.WVWP.899
381,HBM453.SZCH.656,HBM222.SQKD.292
382,HBM453.SZCH.656,HBM682.PRLT.374
383,HBM456.DHPD.338,HBM439.RKPP.789
384,HBM458.TNQX.264,HBM465.JWQL.645
385,HBM459.BBRT.432,HBM665.QHRJ.735
386,HBM459.BBRT.432,HBM695.TGJS.338
387,HBM462.BPNZ.799,HBM269.XSXP.962
388,HBM462.BPNZ.799,HBM578.GNTF.748
389,HBM462.JKCN.863,HBM354.VCFV.796
390,HBM462.JKCN.863,HBM777.LKTF.999
391,HBM464.RSZW.375,HBM447.SVDJ.994
392,HBM464.WWCM.665,HBM674.NJDT.733
393,HBM464.WWCM.665,HBM757.NMDS.629
394,HBM465.TRGV.468,HBM399.HRKG.458
395,HBM466.RBPX.375,HBM279.ZBSM.472
396,HBM466.XSKL.867,HBM346.LVWR.673
397,HBM466.XSKL.867,HBM899.HDCG.596
398,HBM469.MJBC.894,HBM336.BZXG.436
399,HBM469.MJBC.894,HBM568.WDZZ.977
400,HBM473.BGMP.534,HBM833.RFVC.883
401,HBM473.NKMR.872,HBM337.KBLS.364
402,HBM475.LXDL.227,HBM636.XRCL.997
403,HBM475.NWHG.922,HBM279.ZBSM.472
404,HBM476.PRMC.228,HBM345.QSPF.289
405,HBM476.PRMC.228,HBM872.XRHM.685
406,HBM477.DHNP.654,HBM252.NJGH.275
407,HBM477.DHNP.654,HBM635.PSTJ.637
408,HBM477.SGMX.842,HBM347.DKWD.579
409,HBM477.SGMX.842,HBM763.BTMG.534
410,HBM479.RDNW.482,HBM222.SQKD.292
411,HBM479.RDNW.482,HBM682.PRLT.374
412,HBM482.FMFX.584,HBM338.VMRG.486
413,HBM484.RGWP.797,HBM784.SPZB.799
414,HBM488.CHLD.467,HBM665.QHRJ.735
415,HBM488.CHLD.467,HBM695.TGJS.338
416,HBM494.XDQW.356,HBM297.VBLS.984
417,HBM495.KSXC.638,HBM665.QHRJ.735
418,HBM495.KSXC.638,HBM695.TGJS.338
419,HBM497.CLTM.836,HBM229.NBWV.944
420,HBM497.CLTM.836,HBM297.PFXV.394
421,HBM497.PXNT.336,HBM497.VGSN.945
422,HBM522.LXLF.753,HBM734.MCNP.326
423,HBM522.LXLF.753,HBM872.VTRJ.863
424,HBM523.FKWF.269,HBM665.QHRJ.735
425,HBM523.FKWF.269,HBM695.TGJS.338
426,HBM526.DLPZ.745,HBM437.CVGQ.787
427,HBM526.VJKT.388,HBM288.MHXG.854
428,HBM527.PTXH.326,HBM495.CCMS.672
429,HBM529.FCZC.473,HBM562.WMRL.498
430,HBM529.FCZC.473,HBM798.ZZBP.697
431,HBM532.DJRB.464,HBM665.QHRJ.735
432,HBM532.DJRB.464,HBM695.TGJS.338
433,HBM532.ZJRQ.263,HBM828.FDRM.746
434,HBM534.JVTN.478,HBM583.HWZC.364
435,HBM534.JVTN.478,HBM796.XJWH.729
